id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
35333,AR-0001,small_airport,Cullen Airport,-52.88574,-68.414956,132,SA,AR,AR-V,Cullen,no,,,,,,
35334,AR-0002,small_airport,Estancia Los Cerros Airport,-54.343,-67.837532,1914,SA,AR,AR-V,Estancia Los Cerros,no,,,,,,
35335,AR-0003,small_airport,Rio Bellavista Airport,-53.98270035,-68.52359772,201,SA,AR,AR-V,Rio Bellavista,no,,,,,,
35398,AR-0004,small_airport,Merlo Airport,-32.35820007,-65.01740265,796,SA,AR,AR-D,Merlo,yes,,,RLO,,,
35399,AR-0005,small_airport,Bragado Airport,-35.145811,-60.480294,196,SA,AR,AR-B,Bragado,no,SA2X,QRF,BRA,,,
333805,AR-0006,small_airport,Los Rulos Airport,-28.933839,-62.792315,305,SA,AR,AR-G,Casares,no,,,CCR,,,
35401,AR-0007,small_airport,Caleta Olivia Airport,-46.37428,-67.59409,37,SA,AR,AR-Z,Caleta Olivia,no,,CVI,CAO,,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_Caleta_Olivia,
42798,AR-0008,small_airport,Aeroclub Chaco Airport,-27.6311,-59.1797,164,SA,AR,AR-H,Resistencia,no,,,RES,,https://en.wikipedia.org/wiki/Resistencia_Aeroclub,
35403,AR-0009,small_airport,Charata Airport,-27.2164,-61.2103,318,SA,AR,AR-H,Charata,no,,CNT,CHA,,https://en.wikipedia.org/wiki/Charata_Airport,
35404,AR-0010,small_airport,General Villegas Airport,-34.995728,-62.999725,383,SA,AR,AR-B,General Villegas,no,,VGS,GAS,,https://en.wikipedia.org/wiki/General_Villegas_Airport,
35405,AR-0011,small_airport,Los Menucos Airport,-40.817699,-68.074699,2571,SA,AR,AR-R,Los Menucos,no,,LMD,MCO,,https://en.wikipedia.org/wiki/Los_Menucos_Airport,
42799,AR-0012,small_airport,Aerofumigaciones Don Alejandro Airport,-33.306157,-60.656387,170,SA,AR,AR-S,Coronel Bogado,no,,,OGB,,,
42800,AR-0013,small_airport,Agro Servicio Yoris Airport,-26.583055,-64.529724,1043,SA,AR,AR-T,Gobernador Garmendia,no,,,GYT,http://www.asysrl.com.ar/,,
42801,AR-0014,small_airport,Agroaire Airport,-27.4978,-61.6586,377,SA,AR,AR-H,Gancedo,no,,,GAI,,,
35409,AR-0015,closed,Saenz Peña Airport,-26.81579971,-60.44829941,20,SA,AR,AR-H,Presidencia Roque Sáenz Peña,no,,,,,,"SZQ, SZQ"
35410,AR-0016,closed,(Old) Antoine De Saint Exupery Airport,-40.74010086,-64.98049927,85,SA,AR,AR-R,San Antonio Oeste,no,,,,,,"OES, OES"
35412,AR-0017,small_airport,Valcheta Airport,-40.700001,-66.150002,629,SA,AR,AR-R,Valcheta,no,,VCF,VAL,,https://en.wikipedia.org/wiki/Valcheta_Airport,
35413,AR-0018,small_airport,Villa Mercedes Airport,-33.640858,-65.420074,1689,SA,AR,AR-D,Villa Mercedes,no,,,CED,,,
38694,AR-0019,small_airport,13 De Diciembre Airport,-45.90417,-67.559295,170,SA,AR,AR-U,Comodoro Rivadavia,no,,,ICO,,,
38695,AR-0020,heliport,Abel Monteverde Heliport,-32.9208,-62.4663,2646,SA,AR,AR-X,Monte Buey,no,,,HMB,,,
38696,AR-0021,small_airport,Acindar Airport,-33.2647,-60.2842,82,SA,AR,AR-S,Villa Constitución,no,,,ION,,,
38697,AR-0022,small_airport,Aeroboero Airport,-30.7286,-62.0078,314,SA,AR,AR-X,Morteros,no,,,BOE,,,
38698,AR-0023,small_airport,Bahia Blanca Aeroclub Airport,-38.672059,-62.352846,49,SA,AR,AR-B,Bahia Blanca,no,SA92,,BHB,,,
