number,status,lat,lon,angle,departure_time,arrival_time,airport,direction
AR6677,scheduled,-45.785,-67.465,265.493,1733880961,1733888161,NQN,arrival;1733967361
AR1011,scheduled,-26.842,-65.104,7.540454,1733880961,1733891761,CNQ,arrival;1733967361
AR2122,scheduled,-38.949,-68.156,333.60184,1733880961,1733891761,AEP,arrival;1733967361
AR1515,scheduled,-51.609,-69.312,277.86725,1733880961,1733895361,CTC,arrival;1733967361
AR8899,scheduled,-24.854,-65.486,307.5127,1733967361,1733970061,JUJ,arrival;1733967361
AR1313,scheduled,-27.45,-59.056,359.3517,1733967361,1733974561,PSS,arrival;1733967361
AR1920,scheduled,-34.822,-58.535,224.43575,1733967361,1733974561,ROS,arrival;1733967361
AR4455,scheduled,-50.28,-72.053,305.84918,1733967361,1733974561,REL,arrival;1733967361
AR5678,on time,-32.998868670659355,-68.12120241178539,13.5786705,1733967361,1733974561,AEP,arrival;1733967372
AR7788,scheduled,-38.949,-68.156,85.9595,1733967361,1733974561,CRD,arrival;1733967361
AR1717,scheduled,-27.486,-64.935,53.29669,1733967361,1733978161,AEP,arrival;1733967361
AR2223,scheduled,-34.553,-58.413,147.75891,1733967361,1733978161,NQN,arrival;1733967361
AR1414,scheduled,-27.385,-55.97,177.93042,1734053761,1734060961,RES,arrival;1733967361
AR2021,scheduled,-32.948,-60.787,45.691574,1734053761,1734060961,EZE,arrival;1733967361
AR5566,scheduled,-43.211,-65.27,120.89688,1734053761,1734060961,FTE,arrival;1733967361
AR1122,scheduled,-41.151,-71.158,331.5561,1734053761,1734064561,EZE,arrival;1733967361
AR1234,finished,-34.553,-58.413,187.96289,1733880961,1733888161,AEP,departure;1733967361
AR6677,scheduled,-45.785,-67.465,265.493,1733880961,1733888161,CRD,departure;1733967361
AR2122,scheduled,-38.949,-68.156,333.60184,1733880961,1733891761,NQN,departure;1733967361
AR1313,scheduled,-27.45,-59.056,359.3517,1733967361,1733974561,RES,departure;1733967361
AR1920,scheduled,-34.822,-58.535,224.43575,1733967361,1733974561,EZE,departure;1733967361
AR4455,scheduled,-50.28,-72.053,305.84918,1733967361,1733974561,FTE,departure;1733967361
AR7788,scheduled,-38.949,-68.156,85.9595,1733967361,1733974561,NQN,departure;1733967361
AR1212,scheduled,-27.445,-58.762,184.64471,1733967361,1733978161,CNQ,departure;1733967361
AR2223,scheduled,-34.553,-58.413,147.75891,1733967361,1733978161,AEP,departure;1733967361
AR9101,on time,-35.18137905468033,-59.25177070741503,143.88716,1733967361,1733978161,EZE,departure;1733967372
AR1616,scheduled,-28.448,-65.78,95.54795,1733967361,1733981761,CTC,departure;1733967361
AR9900,scheduled,-24.392,-65.097,127.3506,1734053761,1734056461,JUJ,departure;1733967361
AR1414,scheduled,-27.385,-55.97,177.93042,1734053761,1734060961,PSS,departure;1733967361
AR1818,scheduled,-34.553,-58.413,229.92664,1734053761,1734060961,AEP,departure;1733967361
AR2021,scheduled,-32.948,-60.787,45.691574,1734053761,1734060961,ROS,departure;1733967361
AR5566,scheduled,-43.211,-65.27,120.89688,1734053761,1734060961,REL,departure;1733967361
