number,status,lat,lon,angle,departure_time,arrival_time,airport,direction
AR2233,finished,-31.321,-64.213,95.85287,1733880961,1733895361,USH,arrival;1733967362
AR2425,scheduled,-32.883,-68.845,339.53595,1733967361,1733974561,COR,arrival;1733967361
AR1212,scheduled,-27.445,-58.762,184.64471,1733967361,1733978161,TUC,arrival;1733967361
AR9101,on time,-35.18137905468033,-59.25177070741503,143.88716,1733967361,1733978161,BRC,arrival;1733967372
AR1616,scheduled,-28.448,-65.78,95.54795,1733967361,1733981761,RGL,arrival;1733967361
AR3344,scheduled,-54.01689714695434,-68.15163838763148,278.6834,1733967361,1733981761,COR,arrival;1733967373
AR9900,scheduled,-24.392,-65.097,127.3506,1734053761,1734056461,SLA,arrival;1733967361
AR1011,scheduled,-26.842,-65.104,7.540454,1733880961,1733891761,TUC,departure;1733967361
AR1515,scheduled,-51.609,-69.312,277.86725,1733880961,1733895361,RGL,departure;1733967361
AR2233,finished,-31.321,-64.213,95.85287,1733880961,1733895361,COR,departure;1733967362
AR8899,scheduled,-24.854,-65.486,307.5127,1733967361,1733970061,SLA,departure;1733967361
AR3344,scheduled,-54.01689714695434,-68.15163838763148,278.6834,1733967361,1733981761,USH,departure;1733967373
AR2324,scheduled,-31.321,-64.213,157.07318,1734053761,1734060961,COR,departure;1733967361
AR1122,scheduled,-41.151,-71.158,331.5561,1734053761,1734064561,BRC,departure;1733967361
