iata,country,name,lat,lon
AEP,ARG,Aeroparque Jorge Newbery,-34.553,-58.413;1733967360
BRC,ARG,Aeropuerto Internacional Teniente Luis Candelaria,-41.151,-71.158;1733967360
CNQ,ARG,Aeropuerto Internacional Doctor Fernando Piragine Niveyro,-27.445,-58.762;1733967361
COR,ARG,Aeropuerto Internacional Ingeniero Aeronautico Ambrosio Taravella,-31.321,-64.213;1733967360
CRD,ARG,Aeropuerto Internacional General Enrique Mosconi,-45.785,-67.465;1733967361
CTC,ARG,Aeropuerto Coronel Felipe Varela,-28.448,-65.78;1733967361
EZE,ARG,Aeropuerto Internacional Ministro Pistarini,-34.822,-58.535;1733967360
FTE,ARG,Aeropuerto Internacional Comandante Armando Tola,-50.28,-72.053;1733967361
JUJ,ARG,Aeropuerto Internacional Gobernador Horacio Guzman,-24.392,-65.097;1733967361
MDZ,ARG,Aeropuerto El Plumerillo,-32.883,-68.845;1733967360
NQN,ARG,Aeropuerto Presidente Perón,-38.949,-68.156;1733967361
PSS,ARG,Aeropuerto Internacional Libertador General José de San Martín,-27.385,-55.97;1733967361
REL,ARG,Aeropuerto Internacional Almirante Marcos A. Zar,-43.211,-65.27;1733967361
RES,ARG,Aeropuerto Internacional Resistencia,-27.45,-59.056;1733967361
RGL,ARG,Aeropuerto Internacional Piloto Civil Norberto Fernandez,-51.609,-69.312;1733967361
RIA,ARG,Aeropuerto Internacional Termas de Río Hondo,-27.486,-64.935;1733967361
ROS,ARG,Aeropuerto Internacional Rosario,-32.948,-60.787;1733967360
SLA,ARG,Aeropuerto Internacional Martín Miguel de Güemes,-24.854,-65.486;1733967361
TUC,ARG,Aeropuerto Internacional Teniente Benjamín Matienzo,-26.842,-65.104;1733967361
USH,ARG,Aeropuerto Internacional Malvinas Argentinas,-54.843,-68.295;1733967360
