iata,country,name,lat,lon
EZE,ARG,Ministro Pistarini,-34.8222,-58.5358
AEP,ARG,Aeroparque Jorge Newbery,-34.5592,-58.4156
COR,ARG,Ingeniero Ambrosio Taravella,-31.3236,-64.2080
MDZ,ARG,El Plumerillo,-32.8328,-68.7928
ROS,ARG,Islas Malvinas,-32.9036,-60.7850
SLA,ARG,Martín Miguel de Güemes,-24.8425,-65.4861
IGR,ARG,Cataratas del Iguazú,-25.7373,-54.4734
BRC,ARG,Teniente Luis Candelaria,-41.9629,-71.5332
USH,ARG,Malvinas Argentinas,-54.8433,-68.2958
TUC,ARG,Teniente General Benjamín Matienzo,-26.8409,-65.1048
