number,lat,lon,fuel,height,speed
AR002,-34.5592,-58.4156,90.0,12000,540
AR003,-31.3236,-64.2080,85.0,11000,530
AR004,-32.8328,-68.7928,80.0,10000,520
AR005,-32.9036,-60.7850,75.0,9500,510
AR006,-24.8425,-65.4861,70.0,12000,550
AR007,-25.7373,-54.4734,65.0,11500,540
AR010,-26.8409,-65.1048,50.0,9000,510
AR011,-34.5592,-58.4156,93.0,11000,550
AR012,-32.8328,-68.7928,88.0,10500,530
AR013,-24.8425,-65.4861,86.0,11500,540
AR014,-25.7373,-54.4734,82.0,11000,530
AR016,-26.8409,-65.1048,76.0,9500,510
AR017,-34.5592,-58.4156,90.0,12000,540
AR019,-54.8433,-68.2958,74.0,10000,520
AR020,-34.5592,-58.4156,77.0,10500,530
