number,fuel,height,speed,origin,destination
AR1011,100,35000,650,TUC,CNQ;1733703144
AR1515,100,35000,700,RGL,CTC;1733703144
AR1717,100,35000,500,RIA,AEP;1733703144
AR2122,100,35000,450,NQN,AEP;1733703144
AR1011,100,35000,650,TUC,CNQ;1733703144
AR1515,100,35000,700,RGL,CTC;1733703144
AR1717,100,35000,500,RIA,AEP;1733703144
AR2122,100,35000,450,NQN,AEP;1733703144
AR1011,100,35000,650,TUC,CNQ;1733703144
AR1515,100,35000,700,RGL,CTC;1733703144
AR1717,100,35000,500,RIA,AEP;1733703144
AR2122,100,35000,450,NQN,AEP;1733703144
AR1011,100,35000,650,TUC,CNQ;1733703144
AR1515,100,35000,700,RGL,CTC;1733703144
AR1717,100,35000,500,RIA,AEP;1733703144
AR2122,100,35000,450,NQN,AEP;1733703144
